match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only
11698749,2,,5,TeCstEBc,2,3,1696150800,ruzic-gjorcheska,FALSE
11698757,1,Q,,oYcbsgMCb,1,3,1696154400,berberovic-guerrero-alvarez,FALSE
11698861,1,,8,IaJbshgYb,2,3,1696163400,stewart-glinka,FALSE
11698870,,,,FQjdsPutd,2,3,1696154400,shumsky-sinitsyn,FALSE
11698871,,,,kBVdsZaXd,2,3,1696143600,kalenteridis-stroumpos-iliescu,FALSE
11698872,,,,lcVcsIVPd,1,3,1696150800,ispasescu-jakupi,FALSE
11698873,,,,XwudsrGFd,1,3,1696150800,popov-vladimirov,FALSE
11698874,,,,czzsMkrd,2,3,1696147200,cankov-shevkedov,FALSE
11698875,,,,XchdsECUd,2,3,1696154400,torcq-lazarov,FALSE
11698876,,,,bKecsntXd,2,3,1696143600,panayotov-anand,FALSE
11698877,,,,zewcsyEPd,1,3,1696143600,kirilov-aregger,FALSE
11698878,,,,zOZbsdbGd,2,3,1696150800,valtsis-bueno-gil,FALSE
11698879,,,,UYDdsrtGd,1,3,1696143600,marinov-kravec,FALSE
11698880,,,,tpocsxqoc,1,3,1696143600,penev-kardzhiev,FALSE
11698881,,,,boWdsotXd,1,3,1696154400,bonev-norrman,FALSE
11698882,,,,dEOsofUc,2,3,1696143600,anhelov-shandarov,FALSE
11698883,,,,bEOsabTd,1,3,1696150800,baychev-milushev,FALSE
11698884,,,,LYkdsmtXd,1,3,1696143600,tomov-krischke,FALSE
11698885,,1,,ugDbsvEPd,1,3,1696154400,genchev-vanta,FALSE
11698931,,8,,oYmbshqHb,2,3,1696152600,loccisano-cortegiani,FALSE
11698932,,WC,13,fcYbsnQMd,2,3,1696149000,secci-liucci,FALSE
11698933,,WC,11,ExIbsLfGc,2,3,1696156200,caruso-loccisano,FALSE
11698934,,2,WC,kxFcsNjVd,1,3,1696149000,ricci-marino,FALSE
11698935,,,14,trwbsiQMd,2,3,1696152600,mura-loccisano,FALSE
11698936,,WC,16,pZLbshNHc,2,3,1696152600,cossu-floris-dessi,FALSE
11698937,,4,,ZWQsptXd,1,3,1696149000,bardocci-reitano,FALSE
11698938,,,15,bIJbswkkd,1,3,1696149000,massacri-dellelba,FALSE
11698939,,3,,eMUbsinpd,1,3,1696149000,dessi-di-natale,FALSE
11698940,,6,,FLNbsNiuc,1,3,1696149000,misasi-wolfschmidt,FALSE
11698941,,,12,ELhcsDkqd,1,3,1696152600,dhamne-strauch,FALSE
11698942,,1,WC,GJpcsGkqc,1,3,1696149000,la-vela-bettini,FALSE
11698943,,,10,pEAbsYEvc,1,3,1696152600,chvets-heger,FALSE
11698944,,,9,uoysAxud,2,3,1696152600,beaven-martin,FALSE
11698945,,5,,UnjcsqtXd,1,3,1696156200,macchione-fossati,FALSE
11698946,,7,,VCRsubpd,1,3,1696152600,sanna-ricca,FALSE
11698947,,,,qyZcsrtXd,1,3,1696143600,vasudeva-massetti,FALSE
11698949,,WC,,FLGcsvHQd,2,3,1696143600,clark-bukhari,FALSE
11698950,,,,dLmdsAGFd,2,3,1696161600,jakubowicz-varzandeh,FALSE
11698951,,WC,WC,cMgsdzUb,1,3,1696143600,bird-uzhylovsky,FALSE
11698952,,5,WC,VHycsvBVd,1,3,1696161600,gnjatovic-tanner,FALSE
11698953,,,9,obpdsNVqd,2,3,1696167000,kahsay-elbasanly,FALSE
11698954,,1,,DfPbstjac,1,3,1696143600,agostinetto-militi-ribaldi,FALSE
11698955,,3,,fiBbszDYc,1,3,1696156200,vasilev-van-rensburg,FALSE
11698956,,,13,fGncsFdKd,2,3,1696143600,serazhetdinov-el-feky,FALSE
11698957,,,15,AlBcsmbGd,2,3,1696150800,nitschke-ibrahim,FALSE
11698958,,,,LwbdstXKd,2,3,1696167000,bastiaansen-park,FALSE
11698959,,2,,YKKbsmvvd,1,3,1696143600,kamchibekov-jones,FALSE
11698960,,,,xkRcslXcd,1,3,1696161600,kukasian-da-silva,FALSE
11698961,,,10,zEAbshLqc,2,3,1696143600,castelletti-kravchenko,FALSE
11698962,,,,epJcsGrfd,2,3,1696150800,nielsen-ferrari,FALSE
11698963,,,WC,KWecsPBed,,3,1696161600,dinev-tasenkov,FALSE
11698964,,,,OwccslbXd,1,3,1696167000,mabrouk-tsai,FALSE
11698965,,,12,JCdcsrzLc,2,3,1696167000,fumagalli-suresh,FALSE
11698966,,,16,jBMsmbXd,2,3,1696143600,faizy-el-sallaly,FALSE
11698967,,7,,ybkcsttXd,1,3,1696150800,strugach-sibille,FALSE
11698968,,,14,fiObsZtkc,2,3,1696156200,murgett-stanke,FALSE
11698969,,,,ntKbsLgMc,2,3,1696156200,gupta-troebinger,FALSE
11698970,,,,hQmcsNupc,2,3,1696161600,macherla-staley,FALSE
11698971,,,,KBdcsWQJc,2,3,1696167000,pino-taddia,FALSE
11698972,,WC,,MArdsgFPd,2,3,1696143600,bojkovic-bilardo,FALSE
11698973,,WC,,WoMbsLhMc,2,3,1696150800,ridout-evseev,FALSE
11698974,,WC,,yQGcsDtdd,2,3,1696167000,mossur-lai,FALSE
11698975,,4,,gelcsaFoc,1,3,1696156200,filar-mohanty,FALSE
11698976,,,,wGUsgrfd,2,3,1696167000,leather-aleshchev,FALSE
11698977,,,,PmUdsoBVd,2,3,1696167000,herman-shalev-oz,FALSE
11698978,,8,,hhfdslcmd,1,3,1696143600,saravanan-ianin,FALSE
11698979,,,11,OOvcsYVcd,2,3,1696156200,bidzinashvili-sada,FALSE
11698980,,,,NKQbsUBkc,1,3,1696150800,lawrence-popyrin,FALSE
11698984,,6,WC,PiBbsutXd,1,3,1696161600,hermann-traversi,FALSE
11698985,,,10,VZwcsuEfd,2,3,1696161600,kotlikova-mayerova,FALSE
11698986,,WC,15,GMrcslWed,2,3,1696150800,lazic-dimic,FALSE
11698987,,WC,10,FwYcsaDVd,2,3,1696150800,kirbis-michalik,FALSE
11698988,,5,,QRLbsvRtc,2,3,1696150800,junge-ilges-maslenkova,FALSE
11698989,,3,WC,TkRsBqId,1,3,1696143600,djekic-vojcinakova,FALSE
11698990,,7,,FMGbsQzjd,1,3,1696161600,bulat-sandberg,FALSE
11698991,,WC,14,kLGcstlcd,2,3,1696150800,simundza-benedict,FALSE
11698992,,WC,16,kWedsMbmd,1,3,1696143600,hesselmann-hausberger,FALSE
11698993,,,11,qEGcsAald,2,3,1696150800,melato-odorizzi,FALSE
11698994,,2,,XHzcsCItd,2,3,1696150800,jeran-basic,FALSE
11698995,,,12,MbPskypd,2,3,1696150800,kremenchutskyi-panak,FALSE
11698996,,8,WC,xKqcsQBkd,1,3,1696161600,ionescu-karadzhaeva,FALSE
11698997,,7,,BCacskoHd,2,3,1696150800,plunger-zund,FALSE
11698998,,,9,GawcsjEed,2,3,1696150800,premzl-malgiaritta,FALSE
11698999,,2,WC,Ojbdscmqd,1,3,1696143600,gruber-balus,FALSE
11699000,,WC,11,XKccskfgd,2,3,1696143600,freitag-puskar,FALSE
11699001,,5,,xoIbsjvec,1,3,1696143600,krajcik-zahraj,FALSE
11699002,,8,,kRHcsqldd,1,3,1696150800,podorozhnyi-kupcic,FALSE
11699003,,3,,xBacsCjuc,1,3,1696150800,carnevalle-larwig,FALSE
11699004,,6,,mlcdsoTfd,1,3,1696150800,fix-protic-zakelj,FALSE
11699005,,WC,14,uKIcseWPd,2,3,1696143600,keller-semenistaja,FALSE
11699006,,WC,13,rbpdsvutd,2,3,1696143600,mikovic-wojta,FALSE
11699007,,,,tOmbsTibd,,3,1696150800,benesova-masic,TRUE
11699008,,,15,kqHdsgMKd,2,3,1696150800,ksandinov-kargina,FALSE
11699009,,WC,,QjkdswaId,1,3,1696167000,gleixner-safta,FALSE
11699010,,,16,dXedsDugd,1,3,1696161600,sopkova-chramcova,FALSE
11699011,,1,,FBbcsEJpd,1,3,1696143600,agwi-vatteroni,FALSE
11699012,,,9,LXQbsakEc,2,3,1696161600,vanik-sopkova,FALSE
11699013,,,12,ieocsbXcd,2,3,1696161600,slavikova-kovacicova,FALSE
11699014,,4,,ZIGcsWEDd,2,3,1696143600,firman-marusinova,FALSE
11699015,,4,,kMqcsGwYc,1,3,1696143600,lanik-dragomirov,FALSE
11699035,,WC,9,miNdsVYTd,2,3,1696143600,vogt-mijovic,FALSE
11699036,,,16,NCHdsrTVd,2,3,1696143600,poborilova-inisan,FALSE
11699037,,8,,VRRbslrac,1,3,1696152600,borodulina-timm,FALSE
11699038,,,,IUbcsBoKc,2,3,1696158000,petrova-pietras,FALSE
11699039,,,11,GKPbsgjGd,1,3,1696143600,sarinova-breckova,FALSE
11699040,,,13,dKbcsNUbc,1,3,1696152600,krznaric-aragosa,FALSE
11699041,,,,ymQbsWTUd,1,3,1696143600,orlinska-voracek,FALSE
11699042,,,10,xyfbsNCtc,2,3,1696158000,heinzova-yazawa,FALSE
